Analysis	Identifier 2	Identifier 1	d 15N/14N Calculated	N %	d 13C/12C Calculated	C %	d 34S/32S Calculated	S %	Comment 1	Comment 2
11081	0	BH-00700	16.36	15.40	-19.12	46.10	13.37	1.50		
11082	0	BH-01559	16.61	15.22	-18.58	46.44	9.49	1.50		
11083	0	BH-01559	16.74	14.89	-18.57	45.56	10.17	1.51		
11084	0	BH-01559	16.66	14.99	-18.56	45.85	9.53	1.55		
11085	0	BH-00696	13.74	15.31	-16.62	46.65	11.97	1.44		
11086	0	BH-00696	14.01	15.30	-16.60	46.44	11.83	1.42		
11087	0	BH-00696	13.57	15.47	-16.74	46.71	11.74	1.44		
11088	0	BH-01556	16.61	15.37	-19.00	47.45	9.6	1.43		
11089	0	BH-01557	16.39	15.37	-19.09	47.34	9.94	1.45		
11090	0	BH-01558	16.48	15.42	-19.05	47.60	9.49	1.44		
11094	0	BH-01552	15.74	15.01	-19.3	45.82	11.75	1.47		
11095	0	BH-01552	15.92	15.04	-19.39	46.21	11.62	1.48		
11096	0	BH-01552	15.88	14.80	-19.39	45.11	11.68	1.41		
11097	0	BH-01560	16.14	15.65	-18.41	46.70	9.3	1.49		
11098	0	BH-01560	16.06	15.55	-18.44	46.01	9.67	1.50		
11099	0	BH-01560	16.05	15.53	-18.49	46.52	9.86	1.47		
11100	0	BH-00691	12.94	14.73	-17.37	44.92	12.02	1.45		
11101	0	BH-00691	13.16	14.76	-17.42	45.45	11.84	1.46		
11102	0	BH-00691	12.85	14.81	-17.31	44.78	12.19	1.43		
11103	0	BH-00689	12.72	15.19	-17.35	46.08	12.31	1.47		
11104	0	BH-00689	12.85	15.14	-17.38	45.91	12.28	1.53		
11105	0	BH-00689	12.98	14.98	-17.44	45.87	12.09	1.51		
11109	0	BH-00698	14	14.64	-16.91	45.84	11.53	1.47		
11110	0	BH-00698	13.95	14.83	-16.92	46.14	11.2	1.45		
11111	0	BH-00698	13.66	14.89	-16.98	45.67	11.49	1.45		
11112	0	BH-01557	16.04	14.78	-17.94	45.83	11.05	1.38		
11113	0	BH-01557	15.89	14.80	-18.14	45.27	11.05	1.44		
11114	0	BH-01557	16.23	14.64	-18.2	45.82	11.22	1.47		
11115	0	BH-01553	16.22	15.42	-19.2	45.49	9.84	1.53		
11116	0	BH-01553	16.4	15.15	-19.14	45.20	10.23	1.52		
11117	0	BH-01553	16.45	15.24	-19.25	45.67	9.57	1.53		
11118	0	BH-01561	16.11	15.28	-19.18	46.48	9.55	1.47		
11119	0	BH-01561	15.87	15.39	-19.2	46.81	9.83	1.48		
11120	0	BH-01561	16	15.13	-19.19	45.96	9.68	1.51		
11124	0	BH-01563	16.07	15.02	-18.7	45.95	11.1	1.54		
11125	0	BH-01563	16.02	15.06	-18.59	45.93	11.16	1.52		
11126	0	BH-01563	15.99	14.99	-18.76	45.99	11	1.52		
11127	0	BH-00699	15.21	14.93	-19.08	45.54	6.67	1.46		
11128	0	BH-00699	15.23	14.88	-19.16	45.62	6.76	1.46		
11129	0	BH-00699	15.17	14.88	-19.15	45.59	7.16	1.49		
11130	0	BH-01569	14.61	14.63	-16.54	44.81	10.81	1.45		
11131	0	BH-01569	14.37	14.55	-16.54	44.86	10.85	1.44		
11132	0	BH-01569	14.46	14.63	-16.58	44.74	11.04	1.49		
11133	0	BH-01568	15.96	14.84	-18.82	45.51	8.35	1.40		
11134	0	BH-01568	16.17	14.67	-18.81	45.46	8.65	1.41		
11135	0	BH-01568	16.25	14.72	-18.83	45.31	8.19	1.42		
12742	Muscle	BF192	10.55	8.84	-25.34	45.44	17.54	1.32		Measurement repeated (missing NC jump calib)
12743	Muscle	BF192	10.18	8.88	-25.44	45.63	18.43	1.40		Measurement repeated (missing NC jump calib)
12744	Muscle	BF192	10.23	8.90	-25.63	45.60	16.92	1.37		Measurement repeated (missing NC jump calib)
12745	Muscle	BF191	10.23	8.80	-26.01	44.94	17.32	1.31		Measurement repeated (missing NC jump calib)
12746	Muscle	BF191	10.3	8.95	-26.6	45.51	17.51	1.25		Measurement repeated (missing NC jump calib)
12747	Muscle	BF191	10.13	8.96	-26.5	44.94	18.97	1.41		Measurement repeated (missing NC jump calib)
12748	Muscle	BF189	10.38	8.76	-25.51	45.20	17.72	1.26		Measurement repeated (missing NC jump calib)
12749	Muscle	BF189	10.37	8.65	-26.65	46.23	18.08	1.38		Measurement repeated (missing NC jump calib)
12750	Muscle	BF189	10.21	8.85	-27.14	47.27	17.64	1.33		Measurement repeated (missing NC jump calib)
12751	Muscle	BF195	10.71	10.58	-24.11	46.38	16.41	1.35		Measurement repeated (missing NC jump calib)
12752	Muscle	BF195	10.56	10.53	-22.72	45.71	18.26	1.45		Measurement repeated (missing NC jump calib)
12753	Muscle	BF195	10.6	10.51	-24.57	45.53	18.02	1.43		Measurement repeated (missing NC jump calib)
12757	Muscle	BF193	9.69	8.02	-26.3	45.32	17.43	1.25		Measurement repeated (missing NC jump calib)
12758	Muscle	BF193	9.63	8.01	-25.43	45.89	17.51	1.23		Measurement repeated (missing NC jump calib)
12759	Muscle	BF193	9.41	8.05	-25.27	45.96	18.93	1.39		Measurement repeated (missing NC jump calib)
12760	Muscle	BF198	11.13	10.24	-22.91	45.85	17.36	1.47		Measurement repeated (missing NC jump calib)
12761	Muscle	BF198	10.84	10.38	-23.65	45.55	17.44	1.34		Measurement repeated (missing NC jump calib)
12762	Muscle	BF198	10.61	10.30	-23.64	44.97	17.52	1.62		Measurement repeated (missing NC jump calib)
12763	Muscle	BF194	10.7	9.76	-25.01	47.65	16.86	1.41		Measurement repeated (missing NC jump calib)
12764	Muscle	BF194	10.74	9.71	-25.63	47.08	16.28	1.42		Measurement repeated (missing NC jump calib)
12765	Muscle	BF194	11.13	9.77	-25.76	47.40	16.97	1.32		Measurement repeated (missing NC jump calib)
12766	Muscle	BF197	10.73	9.88	-24.11	43.10	17.41	1.36		Measurement repeated (missing NC jump calib)
12767	Muscle	BF197	10.72	10.00	-25.25	43.39	16.87	1.29		Measurement repeated (missing NC jump calib)
12768	Muscle	BF197	10.56	10.06	-23.39	43.16	18.14	1.59		Measurement repeated (missing NC jump calib)
12772	Muscle	BF156	10.26	8.86	-25.48	50.65	18.49	1.50		Measurement repeated (missing NC jump calib)
12773	Muscle	BF156	10.43	8.85	-25.64	50.72	17.7	1.44		Measurement repeated (missing NC jump calib)
12774	Muscle	BF156	10.65	8.85	-26.81	50.55	17.59	1.24		Measurement repeated (missing NC jump calib)
12775	Muscle	BF190	9.99	8.42	-25.82	49.43	18.03	1.46		Measurement repeated (missing NC jump calib)
12776	Muscle	BF190	10.73	8.40	-27.77	51.67	17.8	1.18		Measurement repeated (missing NC jump calib)
12777	Muscle	BF190	9.97	8.19	-27.67	48.83	19.64	1.37		Measurement repeated (missing NC jump calib)
12778	Muscle	BF228	13.59	14.66	-23.24	47.96	9.49	1.97		Measurement repeated (missing NC jump calib)
12779	Muscle	BF228	13.7	14.53	-23.05	48.12	9.09	1.89		Measurement repeated (missing NC jump calib)
12780	Muscle	BF228	13.69	14.58	-23.74	48.22	9.27	1.90		Measurement repeated (missing NC jump calib)
12781	Muscle	BF211	13.39	14.40	-21.27	48.08	6.22	1.98		Measurement repeated (missing NC jump calib)
12782	Muscle	BF211	13.33	14.65	-23.53	48.74	5.44	1.77		Measurement repeated (missing NC jump calib)
12783	Muscle	BF211	13.3	14.59	-22.16	48.84	5.85	1.76		Measurement repeated (missing NC jump calib)
12787	Muscle	BF178	12.72	14.91	-15.32	50.23	7.89	1.75		Measurement repeated (missing NC jump calib)
12788	Muscle	BF178	12.65	14.79	-15.93	49.33	8.73	1.80		Measurement repeated (missing NC jump calib)
12789	Muscle	BF178	12.76	14.76	-14.84	49.41	8.66	1.79		Measurement repeated (missing NC jump calib)
12790	Muscle	BF188	14.16	13.89	-18.5	48.01	9.12	1.85		Measurement repeated (missing NC jump calib)
12791	Muscle	BF188	14.48	13.92	-20.54	48.01	9.63	1.86		Measurement repeated (missing NC jump calib)
12792	Muscle	BF188	14.49	13.99	-19.32	48.49	8.89	1.80		Measurement repeated (missing NC jump calib)
12793	Muscle	BF184	14.74	14.22	-20.68	48.63	8.98	1.79		Measurement repeated (missing NC jump calib)
12794	Muscle	BF184	14.4	14.31	-21.10	47.98	9.71	1.79		Measurement repeated (missing NC jump calib)
12795	Muscle	BF184	14.73	14.29	-22.91	48.85	9.37	1.78		Measurement repeated (missing NC jump calib)
12796	Muscle	BF169	12.12	14.60	-21.49	48.23	9.64	1.74		Measurement repeated (missing NC jump calib)
12797	Muscle	BF169	12.08	14.88	-19.74	49.17	9.87	1.69		Measurement repeated (missing NC jump calib)
12798	Muscle	BF169	11.94	14.56	-16.82	48.02	10.61	1.88		Measurement repeated (missing NC jump calib)
12827	Muscle	BF171	12.36	14.37	-19.24	47.82	11.74	1.59		Measurement repeated (missing NC jump calib)
12828	Muscle	BF171	12.38	14.14	-17.46	47.68	11.41	1.65		Measurement repeated (missing NC jump calib)
12829	Muscle	BF171	12.04	14.07	-16.56	47.12	12.54	1.75		Measurement repeated (missing NC jump calib)
12830	Muscle	BF146	14.15	15.36	-17.75	50.58	12.82	1.79		Measurement repeated (missing NC jump calib)
12831	Muscle	BF146	15.81	15.21	-15.97	50.44	12.57	1.82		Measurement repeated (missing NC jump calib)
12832	Muscle	BF146	14.34	15.24	-17.24	49.96	13.76	1.74		Measurement repeated (missing NC jump calib)
12833	Muscle	BF177	14.09	14.74	-24.05	48.99	12.87	1.82		Measurement repeated (missing NC jump calib)
12834	Muscle	BF177	12.82	14.92	-25.52	49.52	10.44	1.71		Measurement repeated (missing NC jump calib)
12835	Muscle	BF177	12.81	14.89	-22.56	49.59	11.56	1.75		Measurement repeated (missing NC jump calib)
12836	Muscle	BF201	16.12	15.10	-21.83	49.16	10.49	1.83		Measurement repeated (missing NC jump calib)
12837	Muscle	BF201	14.82	15.12	-22.83	49.01	9.75	1.86		Measurement repeated (missing NC jump calib)
12838	Muscle	BF201		0.25		0.48		0.79	Sample didnt fall into reactor	Measurement repeated (missing NC jump calib)
12842	Muscle	BF220	15.1	15.03	-21.8	48.69	9.08	1.96		Measurement repeated (missing NC jump calib)
12843	Muscle	BF220	15.18	14.82	-21.21	48.04	9.3	1.94		Measurement repeated (missing NC jump calib)
12844	Muscle	BF220	16.49	14.77	-20.72	48.64	9.59	1.94		Measurement repeated (missing NC jump calib)
12845	Muscle	BF160	14.12	14.39	-19.3	49.58	8.57	1.77		Measurement repeated (missing NC jump calib)
12846	Muscle	BF160	15.35	14.23	-15.63	49.12	9.02	1.82		Measurement repeated (missing NC jump calib)
12847	Muscle	BF160	14.31	14.23	-18.02	49.11	9.64	1.72		Measurement repeated (missing NC jump calib)
12848	Muscle	BF216	15.92	14.32	-33.23	49.59	4.42	1.51		Measurement repeated (missing NC jump calib)
12849	Muscle	BF216	15.94	14.40	-32.89	49.20	4.99	1.57		Measurement repeated (missing NC jump calib)
12850	Muscle	BF216	16.1	14.49	-34.55	49.66	5.09	1.47		Measurement repeated (missing NC jump calib)
12851	Muscle	BF176	12.66	14.86	-16.3	49.36	6.82	1.72		Measurement repeated (missing NC jump calib)
12852	Muscle	BF176	12.66	15.01	-15.38	49.82	6.9	1.77		Measurement repeated (missing NC jump calib)
12853	Muscle	BF176	12.84	15.00	-16.46	50.11	6.94	1.65		Measurement repeated (missing NC jump calib)
12857	Muscle	BF200	12.59	14.16	-18.53	51.89	7.55	1.64		Measurement repeated (missing NC jump calib)
12858	Muscle	BF200	12.57	14.34	-18.96	52.16	8.08	1.65		Measurement repeated (missing NC jump calib)
12859	Muscle	BF200	12.57	14.38	-20.42	52.53	7.73	1.61		Measurement repeated (missing NC jump calib)
12860	Muscle	BF156	14.35	15.20	-20.13	50.87	9.38	1.86		Measurement repeated (missing NC jump calib)
12861	Muscle	BF156	13.39	15.33	-22.76	49.81	9.23	1.72		Measurement repeated (missing NC jump calib)
12862	Muscle	BF156	13.28	15.18	-22.23	49.17	8.59	1.80		Measurement repeated (missing NC jump calib)
12863	Muscle	BF165	13.56	14.90	-17.67	49.58	7.17	1.71		Measurement repeated (missing NC jump calib)
12864	Muscle	BF165	13.53	14.94	-18.63	50.24	7.8	1.77		Measurement repeated (missing NC jump calib)
12865	Muscle	BF165	13.77	14.96	-16.12	50.18	8.57	1.77		Measurement repeated (missing NC jump calib)
12866	Muscle	BF185	11.48	14.14	-14.57	48.56	6.38	1.91		Measurement repeated (missing NC jump calib)
12867	Muscle	BF185	11.66	14.30	-13	49.27	5.44	1.79		Measurement repeated (missing NC jump calib)
12868	Muscle	BF185	11.8	14.37	-15.28	49.80	4.83	1.66		Measurement repeated (missing NC jump calib)
12872	Muscle	BF157	13.12	15.11	-15.51	48.74	5.88	1.79	Drift Standard before didn't fall into reactor, so maybe measured together with sample	Measurement repeated (missing NC jump calib)
12873	Muscle	BF157	13.02	15.16	-15.59	48.89	4.91	1.79		Measurement repeated (missing NC jump calib)
12874	Muscle	BF157	13.04	15.13	-15.85	48.53	4.73	1.81		Measurement repeated (missing NC jump calib)
12875	Muscle	BF164	15.64	15.27	-23.69	49.50	11.74	1.85		Measurement repeated (missing NC jump calib)
12876	Muscle	BF164	15.3	15.15	-21.87	49.65	11.81	1.87		Measurement repeated (missing NC jump calib)
12877	Muscle	BF164	15.38	15.15	-22.16	49.56	10.98	1.78		Measurement repeated (missing NC jump calib)
12878	Muscle	BF155	13.31	15.52	-18.98	50.33	7.89	1.75		Measurement repeated (missing NC jump calib)
12879	Muscle	BF155	13.11	15.07	-17.26	49.28	7.3	1.87		Measurement repeated (missing NC jump calib)
12880	Muscle	BF155	13.36	15.29	-17.16	49.97	7.74	1.72		Measurement repeated (missing NC jump calib)
12881	Muscle	BF229	14.67	14.91	-23.11	48.82	8.78	1.70		Measurement repeated (missing NC jump calib)
12882	Muscle	BF229	14.68	14.99	-23.81	49.47	7.78	1.75		Measurement repeated (missing NC jump calib)
12883	Muscle	BF229	15.14	14.99	-23.94	49.45	7.92	1.73		Measurement repeated (missing NC jump calib)
12905	Muscle	BH1773	11.98	15.14	-32.16	47.67	5.92	1.92		Measurement repeated (missing NC jump calib)
12906	Muscle	BH1773	12.18	15.17	-31.14	47.18	5.2	1.78		Measurement repeated (missing NC jump calib)
12907	Muscle	BH1773	12.13	14.76	-31.57	45.77	5.32	1.76		Measurement repeated (missing NC jump calib)
12908	Muscle	BH1759	15.29	14.38	-17.9	45.09	14.31	1.65		Measurement repeated (missing NC jump calib)
12909	Muscle	BH1759	15.72	15.07	-18.81	47.01	13.26	1.59		Measurement repeated (missing NC jump calib)
12910	Muscle	BH1759	15.31	14.82	-17.71	46.37	14.41	1.60		Measurement repeated (missing NC jump calib)
12911	Muscle	BH1765	10.58	15.32	-30.58	47.52	4.47	1.75		Measurement repeated (missing NC jump calib)
12912	Muscle	BH1765	10.55	15.13	-28.13	47.91	4.89	1.80		Measurement repeated (missing NC jump calib)
12913	Muscle	BH1765	10.52	13.78	-27.65	43.69	5.18	1.70		Measurement repeated (missing NC jump calib)
12914	Muscle	BH1740	15.98	14.95	-21.84	47.19	14.56	1.75		Measurement repeated (missing NC jump calib)
12915	Muscle	BH1740	16.46	15.14	-21.93	47.35	13.48	1.67		Measurement repeated (missing NC jump calib)
12916	Muscle	BH1740	16.02	15.26	-21.36	47.73	13.16	1.70		Measurement repeated (missing NC jump calib)
12920	Muscle	BH1753	15.69	14.44	-16.87	46.41	12.6	1.58		Measurement repeated (missing NC jump calib)
12921	Muscle	BH1753	15.62	14.95	-18.11	47.68	13.18	1.75		Measurement repeated (missing NC jump calib)
12922	Muscle	BH1753	15.67	14.99	-18.24	47.96	12.79	1.71		Measurement repeated (missing NC jump calib)
12923	Muscle	BH1772	12.12	15.20	-30.76	47.28	2.61	1.81		Measurement repeated (missing NC jump calib)
12924	Muscle	BH1772	11.99	15.48	-32.58	48.53	2.59	1.85		Measurement repeated (missing NC jump calib)
